lin_x,rand_x,lin_x_plus1,sinx,randomy,sinx_plus1
1,-0.07,2,0.0998334166468282,0.91,1.09983341664683
2,0.97,3,0.198669330795061,-0.22,1.19866933079506
3,0.53,4,0.29552020666134,0.96,1.29552020666134
4,0.73,5,0.38941834230865,0.75,1.38941834230865
5,-0.4,6,0.479425538604203,0.71,1.4794255386042
6,-0.64,7,0.564642473395035,-0.25,1.56464247339504
7,0.92,8,0.644217687237691,-0.05,1.64421768723769
8,0.7,9,0.717356090899523,-0.98,1.71735609089952
9,-0.44,10,0.783326909627483,0.28,1.78332690962748
10,-0.88,11,0.841470984807896,0.99,1.8414709848079
11,-0.11,12,0.891207360061435,-0.45,1.89120736006144
12,0.3,13,0.932039085967226,0.87,1.93203908596723
13,-0.96,14,0.963558185417193,-0.11,1.96355818541719
14,-0.5,15,0.98544972998846,-0.1,1.98544972998846
15,0.95,16,0.997494986604055,0.81,1.99749498660405
16,1,17,0.999573603041505,-0.32,1.99957360304151
17,-0.99,18,0.991664810452468,-0.49,1.99166481045247
18,0.72,19,0.973847630878195,0.01,1.9738476308782
19,-0.39,20,0.946300087687414,-0.47,1.94630008768741
20,-0.82,21,0.909297426825682,-0.74,1.90929742682568
21,-0.69,22,0.863209366648874,-0.18,1.86320936664887
22,0.57,23,0.80849640381959,0.62,1.80849640381959
23,0.68,24,0.74570521217672,0.92,1.74570521217672
24,-0.53,25,0.675463180551151,-0.1,1.67546318055115
25,0.46,26,0.598472144103957,0.27,1.59847214410396
26,0.5,27,0.515501371821464,0.5,1.51550137182146
27,0.52,28,0.42737988023383,-0.77,1.42737988023383
28,-0.66,29,0.334988150155905,0.13,1.3349881501559
29,-0.81,30,0.239249329213982,-0.05,1.23924932921398
30,0.72,31,0.141120008059867,-0.72,1.14112000805987
31,-0.37,32,0.0415806624332905,0.07,1.04158066243329
32,0.46,33,-0.0583741434275801,-0.96,0.94162585657242
33,0.17,34,-0.157745694143249,-0.27,0.842254305856751
