TOK,TOK_ID,DIVNAME,LCUPDATE,DATE,SHOT,TIME,TIME_ID,T1,T2,PHASE,ELMFREQ,ELMMAX,ELMDUR,ELMINT,TPI,MEFF,PGASA,PGASZ,BGASA,BGASZ,BGASA2,BGASZ2,XGASZ,XGASA,CONFIG,RGEO,RMAG,AMIN,KAPPA,KAPPAA,KAREA,DELTA,INDENT,AREA,VOL,SEPLIM,XPLIM,WALMAT,DIVMAT,LIMMAT,BT,IEML,PREMAG,IP,VSURF,Q95,BEILI2,BEIMHD,BETMHD,NEL,NELFORM,DNELDT,NEV,NE0,ZEFF,PRAD,POHM,ENBI,PINJ,BSOURCE,PINJ2,BSOURCE2,PNBI,PFLOSS,ECHFREQ,PECRHC,PECRH,ICFREQ,PICRHC,PICRH,PALPHA,DWDIA,DWHC,TEV,TE0,WDIA,WMHD,WEKIN,WFPER,WFPAR,WFFORM,WFANI,WFICRH,WFICRHP,WFICFORM,ICFORM,WFANIIC,TAUDIA,TAUTH2,WTOT,WTH,PL,PLTH,TAUTOT,TAUTH,TAUC92,TAUC93,H89,HITER96L,H93,HITER92Y,HEPS97,HIPB98Y,HIPB98Y1,HIPB98Y2,HIPB98Y3,HIPB98Y4,STANDARD,SELDB1,SELDB2,SELDB2X,IAEA92,DB2P5,DB2P8,DB3IS,DB3V5,IAE2000N,IAE2000X,HMWS2003,SELDB3,SELDB3X
JET,6,MarkGBSR  ,20031119,20020530,56145,62.6473999023438,62647,62.56,62.75,L         ,0,0,0,0,0,1.99666960096476,2.0,1,2,1,2,1,0,0.0,SN(L)     ,2.8130054473877,2.879,0.881674766540527,1.67488861083984,1.54008316931746,1.52235689305905,0.1658,0.0,3.762,65.7106323242188,0.1163,0.189909100532532,IN/C      ,C         ,C         ,-2.37305969182784,0.0,YES       ,-1984524.72686768,-0.4373,3.19252777099609,0.6133,0.185479879379272,4.31020736694336E-03,2.86276054382324e+19,0,-3.37044569256362E+17,2.17886924743652E+19,3.37029838562012E+19,1.67091941833496,1255087.85247803,inf,inf,1418522.0,880902,inf,831008,2542268.75305176,inf,0,0.0,0,0.0,0.0,0.0,0.0,-28080.0,0,1090.86990356445,1863.66748809814,1216947.55554199,951924.800872803,470016.241073608,80756.3066482544,29485.0021600723,54007.0141973862,0.732541254464449,0,0,0,0,0,0.335332890126124,0.308717917490406,1206054.40437794,1095813.09556961,3629073.0535984,3513478.75334506,0.332331255548046,0.311888351260507,1.0,1.0,1.15275298433802,0.989258824611319,0.456747430749666,0.564625779052504,0.608009607333979,0.643198043410004,0.653072480471689,0.643244191459813,0.634872357515223,0.618029204885622,0,0,0,0,0,0,0,0,0,0,0,0,1111111010,1110
JET,6,MarkGBSR  ,20031119,20020916,56603,64.8829956054688,64883,64.8,65.0,HGELM     ,10.745979309082,1.13417523508019E+15,2.98949703574181E-03,1356636094464,0,1.98611067304045,2.0,1,2,1,2,1,0,0.0,SN(L)     ,2.93060874938965,3.064,0.919853210449219,1.69232368469238,1.58275388658359,1.55745116256546,0.2532,0.0,4.207,76.232666015625,0.03772,3.77046167850494E-02,IN/C      ,C         ,C         ,-1.81404928007664,0.0,YES       ,-1490801.81121826,-0.5483,3.71920967102051,1.156,0.754506587982178,0.015173225402832,4.06844711303711e+19,0,-6.00599430579618E+17,3.81080436706543E+19,4.61396789550781E+19,2.3188419342041,2480945.5871582,inf,inf,5815577.0,880902,inf,850906,6950786.59057617,inf,0,0.0,0,0.0,0.0,0.0,0.0,-inf,0,1478.69205474854,3228.3935546875,2282667.16003418,2271789.55078125,1081959.72442627,185241.937637329,60116.5592670441,108893.145992633,0.754984807840284,0,0,0,0,0,0.301941869204725,0.274848624643214,2250162.75048256,2004804.25357819,7559955.71613312,7229765.22820861,0.29764231894648,0.277298666041876,1.0,1.0,1.81520237695392,1.58419724448306,0.84697670068099,0.863194935166835,0.941625362982877,0.965961860830034,0.971306764416856,1.00307050454721,0.951497810579617,0.987805707127633,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,11111100
JET,6,MarkGBSR  ,20031119,20020916,56605,64.8829956054688,64883,64.8,65.0,HGELM     ,13.0366668701172,924393999958016,3.02780605852604E-03,1060584292352,0,1.98499394084906,2.0,1,2,1,2,1,0,0.0,SN(L)     ,2.93656158447266,3.076,0.916749000549317,1.69188785552979,1.58414580236962,1.55843937470915,0.2576,0.0,4.184,75.9209594726563,0.03415,3.41419279575348E-02,IN/C      ,C         ,C         ,-1.80987495485852,0.0,YES       ,-1504057.88421631,3.818,3.66226196289063,1.221,0.827181339263916,1.70738506317139E-02,4.63606262207031e+19,0,1.22360690813331E+18,4.54611968994141E+19,5.12392425537109E+19,2.559814453125,2958871.84143066,inf,inf,6969470.5,880902,inf,850906,8240905.76171875,inf,0,0.0,0,0.0,0.0,0.0,0.0,-inf,0,1752.07233428955,3512.7067565918,2544752.12097168,2534204.48303223,1494022.36938477,214951.038360596,60214.0724658966,127579.527367909,0.781171122003672,0,0,0,0,0,0.289119393019234,0.256035523654946,2497490.67425728,2222325.56343079,8801734.44747925,8456911.00877634,0.283749832394971,0.262782186205403,1.0,1.0,1.82814882279347,1.57826158750632,0.861149758257856,0.861775216190556,0.929661661674205,0.947462151962561,0.953502405065864,0.994803238472241,0.945099853684426,0.985149872315175,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,11111100
JET,6,MarkGBSR  ,20031119,20020916,56606,64.8829956054688,64883,64.8,65.0,HGELM     ,6.18649673461914,243591754547200,1.29019469022751E-03,237964886016,0,1.98267796857711,2.0,1,2,1,2,1,0,0.0,SN(L)     ,2.9011402130127,3.04,0.908151626586914,1.74889087677002,1.63800902960841,1.61051666390781,0.2499,0.0,4.242,76.0645751953125,0.0806,8.06407332420349E-02,IN/C      ,C         ,C         ,-1.81401931450534,0.0,YES       ,-1805120.46813965,0.2095,3.19221878051758,1.102,0.752254486083984,2.21585464477539E-02,4.22871780395508e+19,0,-1.98003902220599E+18,4.04970169067383E+19,4.50537490844727E+19,2.78484916687012,1844033.24127197,inf,inf,6895448.0,880902,inf,850906,7911026.00097656,inf,0,0.0,0,0.0,0.0,0.0,0.0,inf,0,2200.94108581543,3526.83448791504,3207717.89550781,3310237.88452148,1638040.54260254,260467.767715454,79959.6905708313,173290.782339898,0.765119738068871,0,0,0,0,0,0.44062460341672,0.410115913991198,3157443.70222092,2817016.24393463,7279933.69102478,6984815.87321856,0.433718744734397,0.403305727032224,1.0,1.0,2.19843552860708,1.83682188315969,0.973236371908839,1.01761298080028,1.09987306850392,1.12219033803831,1.13922278916736,1.16858209074292,1.12182449068882,1.17144181005319,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,11111100
JET,6,MarkGBSR  ,20031119,20020916,56610,65.3797607421875,65380,65.25,65.5,HGELM     ,12.9973068237305,936345820200960,3.77179682254791E-03,1302421569536,0,1.9938563318441,2.0,1,2,1,2,1,0,0.0,SN(L)     ,2.94696426391602,3.088,0.910812854766846,1.7111930847168,1.60276029689392,1.57648043210456,0.263,0.0,4.176,76.0770263671875,0.03091,0.030908927321434,IN/C      ,C         ,C         ,-1.80332044492828,0.0,YES       ,-1499678.61175537,-0.1417,3.69149971008301,1.205,0.836307048797607,1.72898483276367E-02,4.30213928222656e+19,0,-4.62676691991396E+18,3.97611427307129E+19,4.95946502685547E+19,2.38772964477539,2255481.7199707,inf,inf,6051623.0,880902,inf,850906,7156333.92333984,inf,0,0.0,0,0.0,0.0,0.0,0.0,inf,0,1759.92488861084,2460.41488647461,2497623.44360352,2552947.99804688,1304610.25238037,207203.984260559,59517.3537731171,128869.965630681,0.776855671871283,0,0,0,0,0,0.338599526201747,0.309923267798747,2453538.80524635,2186817.46721268,7376334.72681046,7052605.81108489,0.33262302974519,0.310072266306953,1.0,1.0,1.96279463332704,1.66001939648048,0.899911917973407,0.911777876109131,0.9894042161995,1.01802982566424,1.0258558001387,1.05961730471936,1.00540529658107,1.04723592749769,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,11111100
JET,6,MarkGBSR  ,20031119,20020916,56611,64.3861694335938,64386,64.3,64.5,HGELM     ,28.5059814453125,708337817616384,3.50357219576836E-03,877907673088,0,1.98903405586631,2.0,1,2,1,2,1,0,0.0,SN(L)     ,2.9305305480957,3.05,0.917497634887695,1.69904136657715,1.5882200085556,1.56382081090484,0.2484,0.0,4.2,76.15087890625,0.04086,4.08551692962646E-02,IN/C      ,C         ,C         ,-2.43806284910202,0.0,YES       ,-2007669.44885254,-1.374,3.6809139251709,1.067,0.654876708984375,1.32804679870605E-02,4.65865707397461e+19,0,2.47876540193728E+18,4.40384292602539E+19,5.30451202392578E+19,2.18012619018555,3586425.78125,inf,inf,8245762.0,880902,inf,801110,9922218.32275391,inf,0,0.0,0,0.0,0.0,0.0,0.0,6744.0,0,1893.42021942139,3987.01667785645,3719905.85327148,3587810.51635742,1611564.63623047,269430.637359619,76207.2205543518,172041.368001536,0.779517148340505,0,0,0,0,0,0.36218714811746,0.321079440409658,3661397.75514603,3315759.89723206,10270673.2489169,9974725.04908885,0.356490530504624,0.332416169960989,1.0,1.0,1.82617632996248,1.68974327371278,0.814032183508819,0.920230138916589,0.950233564813127,0.979404427980009,0.985042553725635,1.02817262836725,1.01514432144845,1.00119254494665,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,11111100
JET,6,MarkGBSR  ,20031119,20020916,56612,64.3861694335938,64386,64.3,64.5,HGELM     ,27.0673370361328,654900371390464,3.49121168255806E-03,854617751552,0,1.96891372984536,2.0,1,2,1,2,1,0,0.0,SN(L)     ,2.93142127990723,3.053,0.915180206298828,1.7012882232666,1.59056445317797,1.56651767804759,0.2438,0.0,4.184,75.92041015625,0.04175,4.17468249797821E-02,IN/C      ,C         ,C         ,-2.43909389560475,0.0,YES       ,-1987768.17321777,0.653,3.70976448059082,1.071,0.651688575744629,1.29402160644531E-02,4.35135269165039e+19,0,-1.72453670916666E+18,4.00811386108398E+19,5.1851806640625E+19,2.25005912780762,3236139.29748535,inf,inf,9462064.0,880902,inf,801110,11006988.5253906,inf,0,0.0,0,0.0,0.0,0.0,0.0,-inf,0,2056.69212341309,3402.28843688965,3669961.92932129,3488256.45446777,1540531.15844727,356515.645980835,101019.382476807,226711.640750361,0.779209511417422,0,0,0,0,0,0.302684521817622,0.267507415082026,3592723.48880768,3135188.46035004,12124709.6061707,11768983.9962704,0.296314188587183,0.266394147646353,1.0,1.0,1.68259547755041,1.58601744586968,0.74686324149823,0.848174593874979,0.881289533401579,0.905570605373483,0.914971988671049,0.960135873923265,0.947088726284362,0.934513466665969,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,11111100
JET,6,MarkGBSR  ,20031119,20020925,56738,64.3861694335938,64386,64.3,64.5,HGELM     ,19.4990692138672,1.52635836255437E+15,2.97780334949493E-03,1514686906368,0,1.99438706710975,2.0,1,2,1,2,1,0,0.0,SN(L)     ,2.91990280151367,3.074,0.95316743850708,1.67412090301514,1.56315694286271,1.53492108158063,0.2651,0.0,4.46,80.3756713867188,0.02316,0.023161992430687,IN/C      ,C         ,C         ,-1.4298990508665,0.0,YES       ,-1401195.52612305,-3.623,3.36083030700684,1.286,0.853395462036133,2.31453132629395E-02,4.640380859375e+19,0,-3.11719462958216E+18,3.74503707885742E+19,5.88130569458008E+19,2.29427146911621,2428762.43591309,inf,inf,7349917.5,880902,inf,801011,9393104.55322266,inf,0,0.0,0,0.0,0.0,0.0,0.0,inf,0,1206.92729949951,2499.96948242188,2291236.87744141,2270124.4354248,1086603.16467285,214559.674263,55269.8373794556,122203.545723613,0.795167559534065,0,0,0,0,0,0.248954162085953,0.226996187418331,2239226.87768936,1969397.36604691,9203448.77243042,8782763.77247035,0.243303019667706,0.224234354591205,1.0,1.0,1.78094384189187,1.52028188123024,0.893757168880077,0.820382269819869,0.919186410122604,0.909593820989878,0.9178513208124,0.960182137165365,0.890498687546493,0.973207990068031,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,11111100
JET,6,MarkGBSR  ,20031119,20020925,56740,66.3733520507813,66373,66.25,66.5,HGELM     ,56.5959167480469,562940289744896,2.30596214532852E-03,380643049472,0,1.99316573199078,2.0,1,2,1,2,1,0,0.0,SN(L)     ,2.91902351379395,3.08,0.945846557617188,1.69507312774658,1.58403344873898,1.55438628587093,0.2722,0.0,4.453,80.1253051757813,0.0314,3.14025282859802E-02,IN/C      ,C         ,C         ,-1.42971859156605,0.0,YES       ,-1420685.76812744,-2.12,3.36417579650879,1.318,0.909352779388428,2.55580902099609E-02,4.29986190795898e+19,0,-6.0688204002073E+18,4.24628448486328E+19,4.72124099731445E+19,2.29723167419434,3099973.67858887,inf,inf,9434564.0,880902,inf,801011,11059906.0058594,inf,0,0.0,0,0.0,0.0,0.0,0.0,-inf,0,1463.88244628906,3088.99116516113,2508481.97937012,2498332.97729492,1249698.63891602,272571.563720703,74685.6927871704,153894.935558652,0.78492690537778,0,0,0,0,0,0.219319272104646,0.190084565919562,2446881.89029694,2099624.63378906,11437581.1815262,10913953.3356059,0.213933510194367,0.192379843419267,1.0,1.0,1.73296001231043,1.54305759295768,0.878216088635235,0.812902055147047,0.918215158781047,0.905583153582995,0.922288183805996,0.970104025847011,0.900081475519542,0.986079584408094,0,0,0,0,0,0,0,0,0,0,0,0,1111111011,11011110
JET,6,MarkGBSR  ,20031119,20020925,56755,61.8607788085938,61861,61.75,61.97,HGELM     ,10.9658279418945,1.38873150426317E+15,4.0491558611393E-03,2024468905984,0,1.9922470203734,2.0,1,2,1,2,1,0,0.0,SN(L)     ,2.92564582824707,3.072,0.937453746795654,1.71370887756348,1.60154727999947,1.57416611922937,0.257,0.0,4.42,79.89208984375,0.0333,3.33040356636047E-02,IN/C      ,C         ,C         ,-2.01755087910992,0.0,YES       ,-1998532.29522705,0.425,3.31725692749023,1.167,0.786507129669189,2.19978904724121E-02,6.26399230957031e+19,0,-1.22163482407773E+19,5.87949371337891E+19,7.39714813232422E+19,2.92216300964355,3300539.01672363,inf,inf,7778512.0,880902,inf,801011,9422851.5625,inf,0,0.0,0,0.0,0.0,0.0,0.0,-inf,0,1977.68974304199,3785.08758544922,4035560.60791016,4269577.02636719,2327007.29370117,210474.610328674,48067.7783489227,127194.151798115,0.814081634370357,0,0,0,0,0,0.399698138357724,0.380732295316688,3978391.08109474,3719848.69241714,10096520.9007263,9892743.9289139,0.394035838702473,0.376017889389111,1.0,1.0,2.00647925438913,1.70240741646818,0.928901909438974,0.952030011468854,0.981216686444547,0.987298582887111,0.990376722309115,1.04182053080496,1.01480622070135,1.04514410127094,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,11111100
