location,new_cases_per_million,new_deaths_per_million,stringency_index_cov,population_density_cov,population_cov,median_age_cov,aged_65_older_cov,aged_70_older_cov,gdp_per_capita_cov,cardiovasc_death_rate_cov,diabetes_prevalence_cov,life_expectancy_cov,human_development_index_cov,Population,Area_km2,Density_km2,Year_x,Meningitis,Neoplasms,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease,Total_death_ratio,air_polution,Obesity_rate,Number In Household,Households,1 Member,2-3 Members,4-5 Members,6+ Members,Year,smoking_ratio_both_sexes,smoking_ratio_males,smoking_ratio_females
Albania,20298.41199999999,411.0430000000001,64.7608360128617,104.871,2872934.0,38.0,13.188,8.643,11803.431,304.195,10.08,78.57,0.795,2882740,11100.0,100.0,2019,0.0004509599,0.1632127767,0.0006244059,0.0,0.0012488119,0.0019772855,6.93784e-05,0.0010059874,0.0003815814,0.0084294803,0.0001040677,0.0158529732,0.0055849643,0.0006244059,0.0017691502,0.0002428245,0.0001387569,0.0001734461,0.0052727613,0.0,0.0060706134,0.0003815814,0.0001040677,0.4476296856,0.0114127531,0.0282717137,0.01155151,0.0182812186,3.46892e-05,0.0318100141,0.0086029264,0.7713147908,18.45981,21.7,3.3,862512,9.95,48.08,32.51,9.45,2017,29.2,50.5,7.9
Argentina,35642.693,948.224,71.53060273972548,16.177,45605823.0,31.9,11.198,7.441,18933.907,191.032,5.5,76.67,0.845,44361150,1073512.0,16.0,2019,0.0010211638,0.1920802324,0.001514839,0.0,0.0012758912,0.0064944214,0.0040057573,0.0001938633,0.0016388214,0.0142421916,0.0008498427,0.0817472045,0.0073758232,0.0018507185,0.0,0.0017064481,0.0001014401,0.0029981188,0.011336496,0.0,0.0242599662,0.0006131491,0.002829052,0.2293110075,0.0353124299,0.0436147395,0.0192172656,0.0401071658,8.11521e-05,0.0271521365,0.0068596058,0.7597909432,13.84671,28.3,3.26,13925275,17.6,42.33,28.95,11.12,2010,21.8,28.2,15.4
Australia,1102.2529999999965,35.26200000000005,59.93310850439857,3.202,25788217.0,37.9,15.504,10.129,44648.71,107.791,5.07,83.44,0.944,24898152,2969890.0,3.0,2019,0.0001847527,0.2156786576,0.0004377835,0.0,0.000787207,0.0012932687,0.0002851617,0.0045304567,0.0003815544,0.0064060979,5.22127e-05,0.0171458508,0.0019559685,0.0023696538,1.60654e-05,0.0009157306,0.0001486054,0.0006586834,0.0116394181,0.0,0.01702536,0.0001727036,0.0005462253,0.2073045421,0.0209131987,0.0449953073,0.0088962426,0.026636515,4.01636e-05,0.0451439127,0.0096513187,0.6462126185,6.7487,29.0,2.5,10220186,24.34,49.95,22.44,3.27,2011,16.2,18.7,13.6
Austria,39899.601000000024,688.0449999999996,55.35292604501594,106.749,9043072.0,44.4,19.202,13.748,45436.686,145.183,6.35,81.54,0.922,8891388,32383.0,106.0,2019,0.000348652,0.2503321191,0.0004723672,0.0,0.0006298229,0.0007872787,0.0003936393,0.0015745573,0.0005623419,0.0055221974,3.37405e-05,0.0135524397,0.0012933864,0.0058146152,0.0001237152,0.0014058547,0.0003936393,0.0001349621,0.0159480162,0.0,0.0263176008,0.000348652,2.24937e-05,0.3711231587,0.0378681034,0.0383067301,0.0203455299,0.0364060144,3.37405e-05,0.0540073158,0.0116967115,0.895799396,12.22494,20.1,2.27,3933516,36.34,44.52,17.06,2.08,2011,29.1,30.4,27.7
Azerbaijan,21392.221000000005,258.3499999999999,77.90921568627425,119.309,10223344.0,32.4,6.018,3.871,15847.419,559.812,7.11,73.0,0.756,9949537,33436.0,115.0,2019,0.0006231446,0.1197342148,0.0041509469,0.0,0.0031358243,0.0037388674,0.0003718766,0.000391978,0.0063922572,0.0080707273,0.000321623,0.0246644643,0.0183425621,0.0022614118,0.0,0.001145782,0.0012965427,0.0002914708,0.0038092225,0.0,0.0216090457,0.0008543111,0.0001809129,0.4235171948,0.0139302965,0.0201617422,0.0313381417,0.0396500862,0.0002412173,0.0094577265,0.003397143,0.7630807343,26.26906,19.9,4.55,2217398,6.77,20.86,44.69,27.68,2009,19.6,39.0,0.2
Bahamas,19830.478000000006,428.29499999999985,78.36164948453595,39.497,396914.0,34.3,8.996,5.2,27717.847,235.954,13.17,73.92,0.814,385637,5383.0,28.0,2019,0.0007779337,0.1504005062,0.0025931122,0.0,0.0062234692,0.0287835451,0.0300801012,0.0005186224,0.0018151785,0.014262117,0.0010372449,0.0243752544,0.0054455356,0.0046676019,0.0129655609,0.0010372449,0.0002593112,0.0015558673,0.0031117346,0.0,0.0378594378,0.0002593112,0.0012965561,0.225341448,0.0290428564,0.0132248721,0.0160772955,0.0308580349,0.0,0.0158179843,0.0044082907,0.6640960281,15.2567,31.6,3.4,114679,17.73,40.33,29.15,12.79,2010,10.9,18.6,3.2
Bangladesh,3087.783000000001,45.409999999999954,77.69276315789493,1265.036,166303494.0,27.5,5.098,3.262,3523.984,298.003,8.38,72.59,0.632,161376708,56977.0,1094.0,2019,0.001439489,0.0657759111,0.000871873,6.81635e-05,0.004697704,0.0024501677,0.0002224609,0.0001852808,0.0180236667,0.0053365818,0.0040885702,0.0231148599,0.0248951664,0.0001995331,8.11765e-05,0.0204038119,7.00225e-05,0.002727779,0.0045638556,9.60486e-05,0.0205079162,0.0003476338,0.0014140826,0.2012458948,0.0079162601,0.0439301315,0.0162136162,0.0258271472,0.0027494674,0.0096754979,0.0027816902,0.5119214602,63.54533,3.6,4.47,37957746,1.74,29.71,45.59,22.96,2014,39.1,60.6,17.7
Belarus,20574.691999999992,150.84000000000032,29.610844155844088,46.858,9442867.0,40.3,14.799,9.788,17167.967,443.129,5.18,74.79,0.823,9452617,80154.0,46.0,2019,0.000518375,0.2080693632,0.0072043541,0.0,0.0068235072,0.0082093668,0.0031102498,0.002486084,0.0031525661,0.0110974559,0.0001375281,0.0122188384,0.0016926529,0.0314516075,0.0,0.0001375281,0.0065484511,0.0004760586,0.0240356718,0.0,0.0041575788,0.0036920992,0.0002538979,0.7970173762,0.0052895405,0.0257917992,0.0236442458,0.0443051908,0.0002010025,0.0389839131,0.0066859791,1.2773922819,16.57188,24.5,2.48,3789941,27.00,51.73,19.09,2.19,2009,26.6,42.8,10.4
Belgium,55577.49799999999,1678.7800000000007,56.277831325301065,375.564,11632334.0,41.8,18.571,12.849,42658.576,114.898,4.29,81.63,0.931,11482178,11787.0,376.0,2019,0.0003919117,0.2951704807,0.0011234802,0.0,0.0006706045,0.0014195913,0.0004877123,0.0019508494,0.0007141502,0.0077337244,4.35457e-05,0.0552160052,0.0014892645,0.0045723033,0.0,0.0078208159,0.0004180392,0.0032310943,0.0192646378,0.0,0.0150755371,0.0003222385,0.0029436924,0.2928625562,0.025822627,0.0644477032,0.0183327588,0.0493112021,4.35457e-05,0.0576110212,0.0115918774,0.9400829703,12.7263,22.1,2.36,4883743,30.87,48.31,18.70,2.12,2011,25.0,26.9,23.1
Benin,261.1,3.5330000000000013,46.3894845360824,99.11,12451031.0,18.8,3.244,1.942,2064.236,235.848,0.99,61.77,0.545,11485044,44310.0,100.0,2019,0.0171962772,0.0456855019,0.0027165764,0.1154893268,0.0033434787,0.0078188643,0.0177012818,0.0001306046,0.0228471045,0.0168654121,0.011493208,0.0788242518,0.1097862577,0.0005920744,0.0,0.0458683484,0.0006443162,0.0071397201,0.006460576,8.707e-06,0.0133826218,0.0019242416,0.006817562,0.0994162495,0.0137657287,0.0164387703,0.016917654,0.0301696711,0.001436651,0.0060513482,0.0016543254,0.7185867116,46.23708,9.6,5.19,2335719,9.78,23.56,29.1,37.56,2018,7.2,12.4,1.9
